EventTime	Type	Energy_MeV	Time_ns
2766	proton	0.004974	9.774123
2768	proton	0.717093	9.822787
2774	proton	0.157752	8.894712
2779	proton	0.109922	9.832405
2782	proton	1.600196	9.413276
2792	proton	1.464341	9.199450
2797	proton	0.367198	10.217792
2797	proton	0.001992	10.218473
2802	proton	2.060401	9.307312
2802	proton	0.592808	9.310892
2803	proton	0.241733	8.901507
2803	proton	0.001118	8.902007
2806	proton	0.317924	9.174846
2806	proton	0.006832	9.175453
2806	proton	0.001043	9.175599
2812	proton	0.492851	9.179839
2812	proton	0.020568	9.180724
2812	proton	0.947151	9.061082
2816	proton	0.386743	8.869232
2823	proton	0.479879	9.904043
2823	proton	0.019385	9.904906
